INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
235 WEST END AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6,1011827501,3/11/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,988379,223081,40.778981,-73.985091,10023,159,1076239,Lincoln Square,"(40.778981, -73.985091)"
10-37 46 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4000490015,3/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,997619,211323,40.7467,-73.951752,11101,7,4000000,Hunters Point-Sunnyside-West Maspeth,"(40.7467, -73.951752)"
7205 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059080009,3/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,976759,170039,40.633391,-74.026989,11209,66,3147331,Bay Ridge,"(40.633391, -74.026989)"
MASION ST LEWIS AVE,BROOKLYN,01 BROOKLYN,Unspecified,,,3/9/2018,Open,Property Research Required,,,,,,,,,,
46 3 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,2,1005550028,2/25/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,987264,205468,40.730639,-73.989125,10003,42,1008962,East Village,"(40.730639, -73.989125)"
355 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 9,2,1004590005,2/25/2018,Open,Site downloaded for cleaning,,986561,204046,40.726736,-73.991662,10003,38,1079833,East Village,"(40.726736, -73.991662)"
480 SAINT NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9,1019590001,2/22/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,998519,236627,40.816151,-73.94845,10030,215,1059446,Central Harlem North-Polo Grounds,"(40.816151, -73.94845)"
17-38 WILLOW COURT,QUEENS,14 QUEENS,Precinct 101,31,4156280114,2/13/2018,Open,Site to be cleaned.,,1053326,157784,40.599488,-73.751255,11691,101001,4538463,Far Rockaway-Bayswater,"(40.599488, -73.751255)"
69-36 myrtle ave,BRONX,01 BRONX,Unspecified,,,2/13/2018,Open,Property Research Required,,,,,,,,,,
84-47 PARSONS BOULEVARD,QUEENS,08 QUEENS,Precinct 107,24,4097820015,2/13/2018,Open,Site downloaded for cleaning,,1037850,199104,40.713009,-73.806656,11432,450,4209328,Briarwood-Jamaica Hills,"(40.713009, -73.806656)"
1927 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015310001,2/8/2018,Open,Site downloaded for cleaning,,1006748,186566,40.678729,-73.918888,11233,379,3041583,Stuyvesant Heights,"(40.678729, -73.918888)"
5305 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,,1/30/2018,Open,Property Research Required,,985585,169923,40.633076,-73.99519,11219,218,,Borough Park,"(40.633076, -73.99519)"
7024 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3061690030,1/30/2018,Open,Site downloaded for cleaning,,984557,164968,40.619476,-73.998894,11228,190,3157170,Bensonhurst West,"(40.619476, -73.998894)"
454 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9,1017300001,1/29/2018,Open,Site downloaded for cleaning,,1000311,235319,40.812558,-73.941979,10037,212,1053885,Central Harlem North-Polo Grounds,"(40.812558, -73.941979)"
2471 84 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068540038,1/25/2018,Open,Site downloaded for cleaning,,987930,157711,40.599556,-73.986748,11214,298,3185187,Bensonhurst East,"(40.599556, -73.986748)"
8802 THIRD AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060610136,1/23/2018,Open,Site downloaded for cleaning,,975451,165867,40.621939,-74.031696,11209,60,3154050,Bay Ridge,"(40.621939, -74.031696)"
145 LEXINGTON AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,2,1008857502,1/22/2018,Open,Site to be cleaned.,,989288,210157,40.743508,-73.981819,10016,72,1087927,Murray Hill-Kips Bay,"(40.743508, -73.981819)"
2555 EAST   12 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074330150,1/22/2018,Open,Site downloaded for cleaning,,995812,153696,40.588529,-73.958372,11235,588,3203916,Homecrest,"(40.588529, -73.958372)"
653 NOSTRAND AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012270006,1/22/2018,Open,Site downloaded for cleaning,,998113,185138,40.674827,-73.950023,11216,31701,3030991,Crown Heights North,"(40.674827, -73.950023)"
216 25 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006550015,1/19/2018,Open,Site downloaded for cleaning,,984942,179789,40.660156,-73.997506,11232,101,3009615,Sunset Park West,"(40.660156, -73.997506)"
1076 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016030034,1/19/2018,Open,Site downloaded for cleaning,,1003185,191990,40.693625,-73.931718,11221,289,3043275,Stuyvesant Heights,"(40.693625, -73.931718)"
658 east 34 street,BRONX,01 BRONX,Unspecified,,,2/22/2018,Open,Property Research Required,,,,,,,,,,
41 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,1004947501,1/14/2018,Open,Site downloaded for cleaning,,985371,202259,40.721831,-73.995956,10012,43,1077745,SoHo-TriBeCa-Civic Center-Little Italy,"(40.721831, -73.995956)"
2383 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065590043,1/13/2018,Open,Site downloaded for cleaning,,990577,161992,40.611305,-73.977212,11204,436,3172501,Bensonhurst East,"(40.611305, -73.977212)"
6224 17 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3055310048,1/12/2018,Open,Site downloaded for cleaning,,986785,165909,40.622058,-73.990868,11204,248,3132723,Bensonhurst West,"(40.622058, -73.990868)"
96 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1004090002,1/9/2018,Open,Site downloaded for cleaning,,987004,201021,40.718433,-73.990065,10002,18,1005285,Chinatown,"(40.718433, -73.990065)"
42 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1003100005,1/9/2018,Open,Site downloaded for cleaning,,986937,200230,40.716262,-73.990307,10002,16,1004023,Chinatown,"(40.716262, -73.990307)"
137-22 101 AVENUE,QUEENS,12 QUEENS,Precinct 103,28,4100150012,3/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1036592,192225,40.694135,-73.811248,11435,206,4214315,Jamaica,"(40.694135, -73.811248)"
313 WEST   17 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3,1007410028,3/11/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,983753,209591,40.741956,-74.001794,10011,83,1013074,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.741956, -74.001794)"
35-20 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008220036,3/11/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009537,221537,40.774708,-73.908701,11105,117,4016433,Steinway,"(40.774708, -73.908701)"
62-11 35 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4011900054,3/11/2018,Open,Site to be cleaned.,,1012139,212630,40.750253,-73.899344,11377,293,4027201,Woodside,"(40.750253, -73.899344)"
14 TARYL AVENUE,BRONX,01 BRONX,Unspecified,,,3/8/2018,Open,Property Research Required,,,,,,,,,,
1 BRIGHTON    4 ROAD,BROOKLYN,13 BROOKLYN,Precinct 60,48,3072610150,3/6/2018,Open,Site to be cleaned.,,994231,151484,40.582459,-73.964067,11235,366,3196377,Brighton Beach,"(40.582459, -73.964067)"
4025 18 AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,44,3054160045,3/6/2018,Open,Site to be cleaned.,,991449,169606,40.632203,-73.974064,11218,480,3127689,Flatbush,"(40.632203, -73.974064)"
5587 BROADWAY,BRONX,08 BRONX,Precinct 50,11,2057040045,3/3/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1010618,259586,40.879139,-73.904649,10463,289,2083160,Spuyten Duyvil-Kingsbridge,"(40.879139, -73.904649)"
648 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006340046,2/15/2018,Open,Site downloaded for cleaning,,986433,180680,40.662602,-73.992132,11215,143,3009094,Park Slope-Gowanus,"(40.662602, -73.992132)"
7423 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3062160001,2/8/2018,Open,Site downloaded for cleaning,,985485,162901,40.613802,-73.995552,11204,274,3159669,Bensonhurst West,"(40.613802, -73.995552)"
11-52 44 DRIVE,QUEENS,02 QUEENS,Precinct 108,26,4000520045,2/8/2018,Open,Site downloaded for cleaning,,998303,211967,,,,,,,
7373 troy ave,BROOKLYN,01 BROOKLYN,Unspecified,,,2/7/2018,Open,Property Research Required,,,,,,,,,,
350 6 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009940010,2/5/2018,Open,Site to be cleaned.,,988618,183638,40.67072,-73.984254,11215,137,3021640,Park Slope-Gowanus,"(40.67072, -73.984254)"
350 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050530033,2/2/2018,Open,Site to be cleaned.,,994845,177682,40.654367,-73.961816,11226,50804,3115916,Flatbush,"(40.654367, -73.961816)"
542 WEST   22 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3,1006930056,2/2/2018,Open,Site downloaded for cleaning,,982550,211660,40.747635,-74.006135,10011,99,1012317,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.747635, -74.006135)"
1311 GRANT AVENUE,BRONX,04 BRONX,Precinct 44,16,2028300062,2/1/2018,Open,Site downloaded for cleaning,,1008225,243998,40.836361,-73.913358,10456,17902,2000000,East Concourse-Concourse Village,"(40.836361, -73.913358)"
345 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024620025,1/31/2018,Open,Site to be cleaned.,,996453,197135,40.707759,-73.955985,11211,527,3063597,North Side-South Side,"(40.707759, -73.955985)"
580 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022470006,1/31/2018,Open,Site downloaded for cleaning,,998792,195743,40.703934,-73.947552,11206,509,3061332,Williamsburg,"(40.703934, -73.947552)"
265 LEE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022640005,1/31/2018,Open,Site to be cleaned.,,997076,194311,40.700007,-73.953744,11206,531,3061411,Bedford,"(40.700007, -73.953744)"
101 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,1,1003040004,1/31/2018,Open,Site downloaded for cleaning,,985568,200720,40.717607,-73.995245,10002,16,1003921,Chinatown,"(40.717607, -73.995245)"
1711 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3052170033,1/30/2018,Open,Site to be cleaned.,,995043,170632,40.635016,-73.961113,11230,518,3120549,Flatbush,"(40.635016, -73.961113)"
7607 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062360057,1/30/2018,Open,Mail returned / wrong address,,984189,163263,40.614796,-74.00022,11214,264,3160799,Bensonhurst West,"(40.614796, -74.00022)"
638 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050560048,1/25/2018,Open,Site downloaded for cleaning,,997278,178247,40.655914,-73.953046,11226,822,3116011,Prospect Lefferts Gardens-Wingate,"(40.655914, -73.953046)"
407 BROADWAY,MANHATTAN,01 MANHATTAN,Precinct 1,1,1001940038,1/25/2018,Open,Site to be cleaned.,,983605,201189,40.718894,-74.002327,10013,33,1002308,SoHo-TriBeCa-Civic Center-Little Italy,"(40.718894, -74.002327)"
131 KINGSTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012230010,1/22/2018,Open,Site downloaded for cleaning,,1000442,185331,40.675353,-73.941626,11213,311,3030810,Crown Heights North,"(40.675353, -73.941626)"
200 EAST   66 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4,1014207501,1/19/2018,Open,Site downloaded for cleaning,,994542,218215,40.76562,-73.962846,10065,118,1043871,Lenox Hill-Roosevelt Island,"(40.76562, -73.962846)"
58 NELSON STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005260014,1/17/2018,Open,Site downloaded for cleaning,,983220,186244,40.677874,-74.003713,11231,59,3396860,Carroll Gardens-Columbia Street-Red Hook,"(40.677874, -74.003713)"
145 COURT STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3002780015,1/17/2018,Open,Site downloaded for cleaning,,986326,190429,40.68936,-73.992514,11201,43,3326050,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.68936, -73.992514)"
89-02 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,25,4014370001,1/17/2018,Open,Site downloaded for cleaning,,1017854,214822,40.75625,-73.878706,11372,277,4035401,Jackson Heights,"(40.75625, -73.878706)"
534 HENRY STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003430032,1/17/2018,Open,Site downloaded for cleaning,,984247,188077,40.682905,-74.000011,11231,63,3004493,Carroll Gardens-Columbia Street-Red Hook,"(40.682905, -74.000011)"
1687 MACOMBS ROAD,BRONX,05 BRONX,Precinct 46,14,2028760177,1/16/2018,Open,Site downloaded for cleaning,,1007444,248471,40.84864,-73.916165,10453,21502,2008854,University Heights-Morris Heights,"(40.84864, -73.916165)"
141 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1004240027,1/14/2018,Open,Site downloaded for cleaning,,986171,201468,40.71966,-73.99307,10002,18,1005664,Chinatown,"(40.71966, -73.99307)"
781 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4,1013950050,1/12/2018,Open,Site downloaded for cleaning,,993300,217400,40.763385,-73.967331,10065,11402,1041938,Upper East Side-Carnegie Hill,"(40.763385, -73.967331)"
2279 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065530046,1/12/2018,Open,Site downloaded for cleaning,,989967,162476,40.612634,-73.979409,11204,436,3172254,Bensonhurst East,"(40.612634, -73.979409)"
162 BEACH  149 STREET,QUEENS,14 QUEENS,Precinct 100,32,4163220054,1/11/2018,Open,Site downloaded for cleaning,,1022189,146330,40.568237,-73.863445,11694,922,4307084,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.568237, -73.863445)"
615 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3,1010530033,1/11/2018,Open,Site downloaded for cleaning,,986499,215974,40.759475,-73.991882,10036,121,1026366,Clinton,"(40.759475, -73.991882)"
340 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,3,1007530005,1/11/2018,Open,Site downloaded for cleaning,,984703,212720,40.750544,-73.998365,10001,97,1013468,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.750544, -73.998365)"
39 MADISON AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,2,1008550037,1/10/2018,Open,Site downloaded for cleaning,,987925,209812,40.742562,-73.986738,10010,56,1016749,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.742562, -73.986738)"
97 PITT STREET,MANHATTAN,03 MANHATTAN,Precinct 7,2,1003440063,1/9/2018,Open,Site downloaded for cleaning,,989182,201187,40.718887,-73.982208,10002,2201,1004099,Lower East Side,"(40.718887, -73.982208)"
313 EAST   60 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,1014350009,3/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,994488,216497,40.760905,-73.963043,10022,110,1044198,Lenox Hill-Roosevelt Island,"(40.760905, -73.963043)"
STEUBEN STREET PARK AVENUE,BROOKLYN,01 BROOKLYN,Unspecified,,,3/3/2018,Open,Property Research Required,,,,,,,,,,
2799 8 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9,1020450075,3/2/2018,Open,Graffiti Reported,,1000806,239935,40.825226,-73.940179,10039,259,1060835,Central Harlem North-Polo Grounds,"(40.825226, -73.940179)"
118 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1004100034,3/2/2018,Open,Site to be cleaned.,,987124,201325,40.719487,-73.98952,10002,18,1005323,Chinatown,"(40.719487, -73.98952)"
25-12 41 AVENUE,QUEENS,01 QUEENS,Precinct 114,26,4004150024,3/1/2018,Open,Site to be cleaned.,,1001155,213314,40.752158,-73.938985,11101,33,4005009,Queensbridge-Ravenswood-Long Island City,"(40.752158, -73.938985)"
1680 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17,2029830007,2/20/2018,Open,Site downloaded for cleaning,,1015093,243892,40.836049,-73.888539,10460,161,2010602,Crotona Park East,"(40.836049, -73.888539)"
79 CLIFTON PLACE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019480042,2/19/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995051,189942,40.688017,-73.961054,11238,231,3055597,Clinton Hill,"(40.688017, -73.961054)"
ADAM YAUCH PARK,BROOKLYN,01 BROOKLYN,Unspecified,,,2/19/2018,Open,Site downloaded for cleaning,,,,40.692031,-73.998677,11201,7,,Brooklyn Heights-Cobble Hill,"(40.692031, -73.998677)"
1523 PITKINS AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3034920001,2/17/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1007150,182911,40.668696,-73.917451,11212,900,3080697,Brownsville,"(40.668696, -73.917451)"
121-01 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4122160010,2/16/2018,Open,Site downloaded for cleaning,,1042250,186078,40.677228,-73.790897,11434,288,4265308,Baisley Park,"(40.677228, -73.790897)"
118 BRIGHTON   11 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,,2/12/2018,Open,Property Research Required,,995946,150487,40.579721,-73.957895,11235,61004,,Brighton Beach,"(40.579721, -73.957895)"
1270 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,3066940070,2/9/2018,Open,Site downloaded for cleaning,,996053,169316,40.631402,-73.957477,11230,764,3179164,Flatbush,"(40.631402, -73.957477)"
828 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050820017,2/2/2018,Open,Site to be cleaned.,,995566,176965,40.652398,-73.959219,11226,50801,3116569,Flatbush,"(40.652398, -73.959219)"
4525 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3048820035,2/2/2018,Open,Site to be cleaned.,,1002313,176656,40.651538,-73.934904,11203,872,3109165,East Flatbush-Farragut,"(40.651538, -73.934904)"
4901 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046750044,2/2/2018,Open,Site downloaded for cleaning,,1003330,176717,40.651704,-73.931239,11203,868,3102098,Rugby-Remsen Village,"(40.651704, -73.931239)"
312 KINGS HIGHWAY,BROOKLYN,11 BROOKLYN,Precinct 62,47,3066510069,1/31/2018,Open,Site to be cleaned.,,990126,159702,40.60502,-73.978839,11223,426,3176889,Bensonhurst East,"(40.60502, -73.978839)"
1221 new utrecht ave,BROOKLYN,01 BROOKLYN,Unspecified,,,1/30/2018,Open,Property Research Required,,,,,,,,,,
1063 GATES AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,3014790019,1/27/2018,Open,Site to be cleaned.,,1005705,190465,40.689433,-73.922636,11221,375,3399369,Stuyvesant Heights,"(40.689433, -73.922636)"
224 LEFFERTS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3013280044,1/26/2018,Open,Site downloaded for cleaning,,996931,180511,40.662129,-73.954293,11225,800,3035282,Prospect Lefferts Gardens-Wingate,"(40.662129, -73.954293)"
123 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,1004700020,1/25/2018,Open,Site downloaded for cleaning,,985503,201356,40.719353,-73.99548,10013,41,1006928,SoHo-TriBeCa-Civic Center-Little Italy,"(40.719353, -73.99548)"
442 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 5,1,1002320004,1/25/2018,Open,Site downloaded for cleaning,,983935,201687,40.720261,-74.001136,10013,45,1003027,SoHo-TriBeCa-Civic Center-Little Italy,"(40.720261, -74.001136)"
2740 PITKIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3042330025,1/24/2018,Open,Site downloaded for cleaning,,1019997,185409,40.67551,-73.871127,11208,1196,3095087,East New York,"(40.67551, -73.871127)"
4365 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021800145,1/23/2018,Open,Site downloaded for cleaning,,1002520,250306,40.853688,-73.933958,10033,271,1064429,Washington Heights North,"(40.853688, -73.933958)"
104-01 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,4094060036,1/22/2018,Open,Site downloaded for cleaning,,1028921,189350,40.686286,-73.838929,11416,116,4197777,Richmond Hill,"(40.686286, -73.838929)"
4206 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007220036,1/19/2018,Open,Site downloaded for cleaning,,981461,176840,40.652061,-74.010051,11232,2,3010797,Sunset Park West,"(40.652061, -74.010051)"
23-31 33 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4005660011,1/18/2018,Open,Site downloaded for cleaning,,1003490,217522,40.763703,-73.930545,11106,53,4006533,Astoria,"(40.763703, -73.930545)"
98 STATE STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3002740040,1/17/2018,Open,Site downloaded for cleaning,,985291,191208,40.691499,-73.996246,11201,7,3002730,Brooklyn Heights-Cobble Hill,"(40.691499, -73.996246)"
508 COURT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003790029,1/17/2018,Open,Site downloaded for cleaning,,984587,185705,40.676394,-73.998785,11231,65,3005635,Carroll Gardens-Columbia Street-Red Hook,"(40.676394, -73.998785)"
96-04 ROOSEVELT AVENUE,QUEENS,04 QUEENS,Precinct 110,21,4016050072,1/17/2018,Open,Site downloaded for cleaning,,1020477,212246,40.749169,-73.869253,11368,375,4040223,North Corona,"(40.749169, -73.869253)"
ALBERMARLE ROAD AND EAST 28 STREET,BROOKLYN,01 BROOKLYN,Unspecified,,,1/25/2018,Open,Property Research Required,,,,,,,,,,
151 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002830029,1/9/2018,Open,Site downloaded for cleaning,,986792,199402,40.713989,-73.99083,10002,6,1003569,Lower East Side,"(40.713989, -73.99083)"
73 BAINBRIDGE STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016800079,1/8/2018,Open,Site downloaded for cleaning,,1002518,187253,40.680624,-73.934136,11233,297,3047475,Crown Heights North,"(40.680624, -73.934136)"
1763 UNIVERSITY AVENUE,BRONX,05 BRONX,Precinct 46,14,2028780200,1/8/2018,Open,Site downloaded for cleaning,,1007532,249042,40.850207,-73.915845,10453,21501,2009016,University Heights-Morris Heights,"(40.850207, -73.915845)"
312 HENDRIX STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039780034,3/13/2018,Open,Site to be cleaned.,,1014805,185030,40.674489,-73.889847,11207,1152,3088507,East New York,"(40.674489, -73.889847)"
209 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,1019310027,3/13/2018,Open,Site to be cleaned.,,998418,234091,40.80919,-73.94882,10027,222,1058660,Central Harlem South,"(40.80919, -73.94882)"
116 FORSYTHE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1004190040,3/11/2018,Open,Site to be cleaned.,,986339,201275,40.71913,-73.992464,10002,18,1005583,Chinatown,"(40.71913, -73.992464)"
192-20 LINDEN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4126090010,3/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1051038,191676,40.692531,-73.759159,11412,394,4271569,St. Albans,"(40.692531, -73.759159)"
875 LEXINGTON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,,3/9/2018,Open,Property Research Required,,1004808,190879,40.690572,-73.925869,11221,387,,Stuyvesant Heights,"(40.690572, -73.925869)"
325 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1003090012,3/9/2018,Open,Site to be cleaned.,,986876,200549,40.717137,-73.990527,10002,16,1004006,Chinatown,"(40.717137, -73.990527)"
139 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1004150067,3/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,987227,201607,40.720016,-73.989271,10002,18,1088498,Chinatown,"(40.720016, -73.989271)"
1519 BUSHWICK AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,,3/8/2018,Open,Property Research Required,,1010299,187995,40.682642,-73.90608,11207,405,,Bushwick South,"(40.682642, -73.90608)"
437 5 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010050003,3/7/2018,Open,Site to be cleaned.,,988103,183153,40.669389,-73.986111,11215,137,3022112,Park Slope-Gowanus,"(40.669389, -73.986111)"
1349 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3033300053,3/5/2018,Open,Site to be cleaned.,,1005733,190589,40.689774,-73.922534,11221,397,3400869,Bushwick South,"(40.689774, -73.922534)"
429 HUMBOLDT STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027450025,3/3/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1000018,200552,40.717132,-73.943119,11211,497,3068334,East Williamsburg,"(40.717132, -73.943119)"
252 WYCKOFF AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033280033,3/1/2018,Open,Site to be cleaned.,,1008400,194511,40.700532,-73.912903,11237,441,3076182,Bushwick North,"(40.700532, -73.912903)"
672 59 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008650040,3/1/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,980947,171661,40.637846,-74.011901,11220,102,3016346,Sunset Park East,"(40.637846, -74.011901)"
32 INDIA STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025390001,2/28/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995537,205920,40.731873,-73.959275,11222,565,3000000,Greenpoint,"(40.731873, -73.959275)"
704 MADISON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016460038,2/27/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1003573,189591,40.687039,-73.930326,11221,293,3045216,Stuyvesant Heights,"(40.687039, -73.930326)"
3234 YATES AVENUE,BRONX,11 BRONX,Precinct 49,12,2046150020,2/22/2018,Open,Site downloaded for cleaning,,1024479,257044,40.872109,-73.85454,10469,348,2056697,Allerton-Pelham Gardens,"(40.872109, -73.85454)"
12 WEST   44 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,4,1012590047,2/20/2018,Open,Site downloaded for cleaning,,989608,214372,40.755077,-73.980661,10036,96,1034213,Midtown-Midtown South,"(40.755077, -73.980661)"
71-66 69 PLACE,QUEENS,05 QUEENS,Precinct 104,30,4036840045,2/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1016889,195327,40.702744,-73.882284,11385,625,4089630,Glendale,"(40.702744, -73.882284)"
302 86 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060440007,2/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,975662,166408,40.623424,-74.030937,11209,60,3153462,Bay Ridge,"(40.623424, -74.030937)"
